Group,Distance_to_Galectin3
Model,1252.9964086141667
Model,1280.6248474865697
Model,1004.987562112089
Model,1029.5630140987
Model,943.3981132056604
Model,632.4555320336759
Model,806.2257748298549
Model,500.0
Model,721.1102550927978
Model,509.9019513592785
Model,316.22776601683796
Model,806.2257748298549
Model,412.31056256176606
Model,824.6211251235321
Model,400.0
Model,100.0
Model,0.0
Model,316.22776601683796
Model,100.0
Model,300.0
Model,223.60679774997897
Model,282.842712474619
Model,223.60679774997897
Model,447.21359549995793
Model,141.4213562373095
Model,0.0
Model,223.60679774997897
Model,100.0
Model,223.60679774997897
Model,412.31056256176606
Model,200.0
Model,700.0
Model,100.0
Model,300.0
Model,360.5551275463989
Control,1746.424919657298
Control,1702.93863659264
Control,1603.1219541881396
Control,1170.4699910719626
Control,1077.0329614269008
Control,761.5773105863908
Control,848.5281374238571
Control,854.4003745317531
Control,509.9019513592785
Control,424.26406871192853
Control,223.60679774997897
Control,100.0
Control,0.0
Control,100.0
Control,223.60679774997897
Control,316.22776601683796
Control,223.60679774997897
